cmpdname,mw,polararea,heavycnt,hbonddonor,hbondacc,rotbonds,isosmiles,exactmass,monoisotopicmass,xlogp
4-Hydroxyphenylacetic acid,152.15,57.5,11,2,3,2,C1=CC(=CC=C1CC(=O)O)O,152.047,152.047,0.8
4-Hydroxybenzoic acid,138.12,57.5,10,2,3,1,C1=CC(=CC=C1C(=O)O)O,138.032,138.032,1.6
Aminolevulinic acid,131.13,80.4,9,2,4,4,C(CC(=O)O)C(=O)CN,131.058,131.058,-3.8
5-Aminovaleric acid,117.15,63.3,8,2,3,4,C(CCN)CC(=O)O,117.079,117.079,-2.6
5-Hydroxytryptophan,220.22,99.3,16,4,4,3,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,220.085,220.085,-1.2
Ethylene Glycol,62.07,40.5,4,2,2,1,C(CO)O,62.0368,62.0368,-1.4
Acetic Acid,60.05,37.3,4,1,2,0,CC(=O)O,60.0211,60.0211,-0.2
Acetaldehyde,44.05,17.1,3,0,1,0,CC=O,44.0262,44.0262,-0.3
Acetamide,59.07,43.1,4,1,1,0,CC(=O)N,59.0371,59.0371,-0.9
Acetoin,88.11,37.3,6,1,2,1,CC(C(=O)C)O,88.0524,88.0524,-0.3
Acetone,58.08,17.1,4,0,1,0,CC(=O)C,58.0419,58.0419,-0.1
Adenine,135.13,80.5,10,2,4,0,C1=NC2=NC=NC(=C2N1)N,135.054,135.054,-0.1
Adipic Acid,146.14,74.6,10,2,4,5,C(CCC(=O)O)CC(=O)O,146.058,146.058,0.1
Allantoin,158.12,113,11,4,3,1,C1(C(=O)NC(=O)N1)NC(=O)N,158.044,158.044,-2.2
Aminoparathion,261.279,85.8,16,1,5,6,CCOP(=S)(OCC)OC1=CC=C(C=C1)N,261.059,261.059,2.6
Ammonia,17.031,1,1,1,1,0,N,17.0265,17.0265,-0.7
Anthranilic acid,137.14,63.3,10,2,3,1,C1=CC=C(C(=C1)C(=O)O)N,137.048,137.048,1.2
Quinacrine,400,37.4,28,1,4,9,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,399.208,399.208,6
beta-Alanine,89.09,63.3,6,2,3,2,C(CN)C(=O)O,89.0477,89.0477,-3
Benzaldehyde,106.12,17.1,8,0,1,1,C1=CC=C(C=C1)C=O,106.042,106.042,1.5
Benzene,78.11,0,6,0,0,0,C1=CC=CC=C1,78.047,78.047,2.1
Benzoic Acid,122.12,37.3,9,1,2,1,C1=CC=C(C=C1)C(=O)O,122.037,122.037,1.9
Benzyl Alcohol,108.14,20.2,8,1,1,1,C1=CC=C(C=C1)CO,108.058,108.058,1.1
Betaine,117.15,40.1,8,0,2,1,C[N+](C)(C)CC(=O)[O-],117.079,117.079,0.5
"Blasticidin S, Hydrochloride",422.4,213,30,6,7,9,CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N,422.203,422.203,-5.2
Butyraldehyde,72.11,17.1,5,0,1,2,CCCC=O,72.0575,72.0575,0.9
"2,3-Butanediol",90.12,40.5,6,2,2,1,CC(C(C)O)O,90.0681,90.0681,-0.9
1-Butanol,74.12,20.2,5,1,1,2,CCCCO,74.0732,74.0732,0.9
Butyric Acid,88.11,37.3,6,1,2,2,CCCC(=O)O,88.0524,88.0524,0.8
Cadaverine,102.18,52,7,2,2,4,C(CCN)CCN,102.116,102.116,-0.6
DL-Canavanine,176.17,137,12,4,5,5,C(CON=C(N)N)C(C(=O)O)N,176.091,176.091,-4.8
Carbon Dioxide,44.009,34.1,3,0,2,0,C(=O)=O,43.9898,43.9898,0.9
Carbon Monoxide,28.01,1,2,0,1,0,[C-]#[O+],27.9949,27.9949,0.7
Formic Acid,46.025,37.3,3,1,2,0,C(=O)O,46.0055,46.0055,-0.2
Catechol,110.11,40.5,8,2,2,0,C1=CC=C(C(=C1)O)O,110.037,110.037,0.9
Methane,16.043,0,1,0,0,0,C,16.0313,16.0313,0.6
Chlordecone,490.6,17.1,21,0,1,0,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,489.678,485.683,3.9
Chloroacetic acid,94.5,37.3,5,1,2,1,C(C(=O)O)Cl,93.9822,93.9822,0.2
Chlorohydroquinone,144.55,40.5,9,2,2,0,C1=CC(=C(C=C1O)Cl)O,143.998,143.998,1.4
3-Phenyl-2-propenol,134.17,20.2,10,1,1,2,C1=CC=C(C=C1)C=CCO,134.073,134.073,1.9
Citric Acid,192.12,132,13,4,7,5,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,192.027,192.027,-1.7
Hydrochloric Acid,36.46,0,1,1,0,0,Cl,35.9767,35.9767,0.8
Coumarin,146.14,26.3,11,0,2,0,C1=CC=C2C(=C1)C=CC(=O)O2,146.037,146.037,1.4
4-Isopropylbenzyl alcohol,150.22,20.2,11,1,1,2,CC(C)C1=CC=C(C=C1)CO,150.104,150.104,2.3
4-Isopropylbenzaldehyde,148.2,17.1,11,0,1,2,CC(C)C1=CC=C(C=C1)C=O,148.089,148.089,2.7
o-Cresol,108.14,20.2,8,1,1,0,CC1=CC=CC=C1O,108.058,108.058,2
Salicylic Acid,138.12,57.5,10,2,3,1,C1=CC=C(C(=C1)C(=O)O)O,138.032,138.032,2.3
m-Cresol,108.14,20.2,8,1,1,0,CC1=CC(=CC=C1)O,108.058,108.058,2
Octane,114.23,0,8,0,0,5,CCCCCCCC,114.141,114.141,3.9
Gallic Acid,170.12,98,12,4,5,1,C1=C(C=C(C(=C1O)O)O)C(=O)O,170.022,170.022,0.7
Octanoic acid,144.21,37.3,10,1,2,6,CCCCCCCC(=O)O,144.115,144.115,3
Pimelic acid,160.17,74.6,11,2,4,6,C(CCC(=O)O)CCC(=O)O,160.074,160.074,0.5
2-Nitropropane,89.09,45.8,6,0,2,0,CC(C)[N+](=O)[O-],89.0477,89.0477,0.8
4-Aminophenol,109.13,46.2,8,2,2,0,C1=CC(=CC=C1N)O,109.053,109.053,0
1-Methyl-5-(3-pyridinyl)-2-pyrrolidinone,176.21,33.2,13,0,2,1,CN1C(CCC1=O)C2=CN=CC=C2,176.095,176.095,-0.3
Nicotine 1-N-oxide,178.23,31,13,0,2,1,C[N+]1(CCCC1C2=CN=CC=C2)[O-],178.111,178.111,0.7
Nornicotine,148.2,24.9,11,1,2,1,C1CC(NC1)C2=CN=CC=C2,148.1,148.1,0.2
"1,3-Diaminopropane",74.13,52,5,2,2,2,C(CN)CN,74.0844,74.0844,-1.4
Oxoamide,192.21,59.1,14,1,3,4,CNC(=O)CCC(=O)C1=CN=CC=C1,192.09,192.09,-0.3
Bupropion,239.74,29.1,16,1,2,4,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,239.108,239.108,3.2
3-Chlorobenzoic acid,156.56,37.3,10,1,2,1,C1=CC(=CC(=C1)Cl)C(=O)O,155.998,155.998,2.7
Mevalonate,148.16,77.8,10,3,4,4,CC(CCO)(CC(=O)O)O,148.074,148.074,-1
Octanal,128.21,17.1,9,0,1,6,CCCCCCCC=O,128.12,128.12,2.7
Guaiacol,124.14,29.5,9,1,2,1,COC1=CC=CC=C1O,124.052,124.052,1.3
Hippuric Acid,179.17,66.4,13,2,3,3,C1=CC=C(C=C1)C(=O)NCC(=O)O,179.058,179.058,0.3
"2,4-Diaminobutyric acid",118.13,89.3,8,3,4,3,C(CN)C(C(=O)O)N,118.074,118.074,-4.6
Malic Acid,134.09,94.8,9,3,5,3,C(C(C(=O)O)O)C(=O)O,134.022,134.022,-1.3
Propionaldehyde,58.08,17.1,4,0,1,1,CCC=O,58.0419,58.0419,0.6
1-Aminocyclopropanecarboxylic acid,101.1,63.3,7,2,3,1,C1CC1(C(=O)O)N,101.048,101.048,-2.8
"3,4-Dihydroxyphenylacetic acid",168.15,77.8,12,3,4,2,C1=CC(=C(C=C1CC(=O)O)O)O,168.042,168.042,0.5
3-(Methylthio)propionic acid,120.17,62.6,7,1,3,3,CSCCC(=O)O,120.025,120.025,0.4
Aminocaproic acid,131.17,63.3,9,2,3,5,C(CCC(=O)O)CCN,131.095,131.095,-3
Dibenzofuran,168.19,13.1,13,0,1,0,C1=CC=C2C(=C1)C3=CC=CC=C3O2,168.058,168.058,4.1
Creatine,131.13,90.4,9,3,3,3,CN(CC(=O)O)C(=N)N,131.069,131.069,-1.2
creatinine,113.12,58.7,8,1,1,0,CN1CC(=O)N=C1N,113.059,113.059,-1.8
Cytosine,111.1,67.5,8,2,2,0,C1=C(NC(=O)N=C1)N,111.043,111.043,-1.7
Lactic Acid,90.08,57.5,6,2,3,1,CC(C(=O)O)O,90.0317,90.0317,-0.7
"2,3-Butanedione",86.09,34.1,6,0,2,1,CC(=O)C(=O)C,86.0368,86.0368,-1.3
"3,4-Dihydrocoumarin",148.16,26.3,11,0,2,0,C1CC(=O)OC2=CC=CC=C21,148.052,148.052,1.6
Dihydroxyacetone,90.08,57.5,6,2,3,2,C(C(=O)CO)O,90.0317,90.0317,-1.4
"N,N-dimethylglycine",103.12,40.5,7,1,3,2,CN(C)CC(=O)O,103.063,103.063,-2.9
Dimethylamine,45.08,12,3,1,1,0,CNC,45.0578,45.0578,-0.2
"5,6-Dimethylbenzimidazole",146.19,28.7,11,1,1,0,CC1=CC2=C(C=C1C)N=CN2,146.084,146.084,2.4
Dimethyl Sulfoxide,78.14,36.3,4,0,2,0,CS(=O)C,78.0139,78.0139,-0.6
Dopamine,153.18,66.5,11,3,3,2,C1=CC(=C(C=C1CCN)O)O,153.079,153.079,-1
Ethanolamine,61.08,46.2,4,2,2,1,C(CO)N,61.0528,61.0528,-1.3
Ethanol,46.07,20.2,3,1,1,0,CCO,46.0419,46.0419,-0.1
Formaldehyde,30.026,17.1,2,0,1,0,C=O,30.0106,30.0106,1.2
Formamide,45.041,43.1,3,1,1,0,C(=O)N,45.0215,45.0215,-0.8
Lindane,290.8,0,12,0,0,0,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,289.857,287.86,3.8
Glutaric acid,132.11,74.6,9,2,4,4,C(CC(=O)O)CC(=O)O,132.042,132.042,-0.3
Glycine,75.07,63.3,5,2,3,1,C(C(=O)O)N,75.032,75.032,-3.2
Glycerin,92.09,60.7,6,3,3,2,C(C(CO)O)O,92.0473,92.0473,-1.8
Glycolic Acid,76.05,57.5,5,2,3,1,C(C(=O)O)O,76.016,76.016,-1.1
Glyoxylic acid,74.04,54.4,5,1,3,1,C(=O)C(=O)O,74.0004,74.0004,-0.3
Hydrogen Cyanide,27.025,23.8,2,0,1,0,C#N,27.0109,27.0109,0.1
Clivarin,1134.9,652,70,15,38,21,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,1134.01,1134.01,-10.8
Histamine,111.15,54.7,8,2,2,2,C1=C(NC=N1)CCN,111.08,111.08,-0.7
Homogentisic acid,168.15,77.8,12,3,4,2,C1=CC(=C(C=C1O)CC(=O)O)O,168.042,168.042,0.5
Thiocyanic acid,59.09,24.8,3,1,2,0,C(#N)S,58.983,58.983,0.6
Hydrogen Peroxide,34.015,40.5,2,2,2,0,OO,34.0055,34.0055,-0.9
Hydroquinone,110.11,40.5,8,2,2,0,C1=CC(=CC=C1O)O,110.037,110.037,0.6
Hydroxylamine,33.03,46.2,2,2,2,0,NO,33.0215,33.0215,-1.2
CID 790,136.11,70.1,10,2,2,0,C1=NC2=C(N1)C(=O)N=CN2,136.039,136.039,-1.1
DL-Isoleucine,131.17,63.3,9,2,3,3,CCC(C)C(C(=O)O)N,131.095,131.095,-1.7
Imidazole,68.08,28.7,5,1,1,0,C1=CN=CN1,68.0374,68.0374,-0.1
Indole,117.15,15.8,9,1,0,0,C1=CC=C2C(=C1)C=CN2,117.058,117.058,2.1
Indole-3-acetic acid,175.18,53.1,13,2,2,2,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,175.063,175.063,1.4
Iodine,253.808,0,2,0,0,0,II,253.809,253.809,1.7
Pipecolic acid,129.16,49.3,9,2,3,1,C1CCNC(C1)C(=O)O,129.079,129.079,-2.3
"9,12,15-Octadecatrienoic acid",278.4,37.3,20,1,2,13,CCC=CCC=CCC=CCCCCCCCC(=O)O,278.225,278.225,5.9
Thioctic acid,206.3,87.9,12,1,4,5,C1CSSC1CCCCC(=O)O,206.044,206.044,1.7
Malonic acid,104.06,74.6,7,2,4,2,C(C(=O)O)C(=O)O,104.011,104.011,-0.8
3-(2-Hydroxyphenyl)propanoic acid,166.17,57.5,12,2,3,3,C1=CC=C(C(=C1)CCC(=O)O)O,166.063,166.063,1.4
"2,3-Dihydroxybutanedioic acid",150.09,115,10,4,6,3,C(C(C(=O)O)O)(C(=O)O)O,150.016,150.016,-1.9
DL-Methionine,149.21,88.6,9,2,4,4,CSCCC(C(=O)O)N,149.051,149.051,-1.9
Methanethiol,48.11,1,2,1,1,0,CS,48.0034,48.0034,0.5
Methylglyoxal,72.06,34.1,5,0,2,1,CC(=O)C=O,72.0211,72.0211,-0.4
Methanol,32.042,20.2,2,1,1,0,CO,32.0262,32.0262,-0.5
Inositol,180.16,121,12,6,6,0,C1(C(C(C(C(C1O)O)O)O)O)O,180.063,180.063,-3.7
Melatonin,232.28,54.1,17,2,2,4,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,232.121,232.121,0.8
Acetanilide,135.16,29.1,10,1,1,1,CC(=O)NC1=CC=CC=C1,135.068,135.068,1.2
Naphthalene,128.169,0,10,0,0,0,C1=CC=C2C=CC=CC2=C1,128.063,128.063,3.3
Nicotinamide,122.12,56,9,1,2,1,C1=CC(=CN=C1)C(=O)N,122.048,122.048,-0.4
Nicotinic acid,123.11,50.2,9,1,3,1,C1=CC(=CN=C1)C(=O)O,123.032,123.032,0.4
Nitric Acid,63.013,66,4,1,3,0,[N+](=O)(O)[O-],62.9956,62.9956,0.2
Nitrogen,28.014,47.6,2,0,2,0,N#N,28.0061,28.0061,0.1
Nitrous Oxide,44.013,19.1,3,0,2,0,[N-]=[N+]=O,44.0011,44.0011,0.5
"N,N-Dimethylaniline",121.18,3.2,9,0,1,1,CN(C)C1=CC=CC=C1,121.089,121.089,2.3
1-Octanol,130.229,20.2,9,1,1,6,CCCCCCCCO,130.136,130.136,3
Water,18.015,1,1,1,1,0,O,18.0106,18.0106,-0.5
Orotic acid,156.1,95.5,11,3,4,1,C1=C(NC(=O)NC1=O)C(=O)O,156.017,156.017,-1.4
Oxalic Acid,90.03,74.6,6,2,4,1,C(=O)(C(=O)O)O,89.9953,89.9953,-0.3
Oxygen,31.999,34.1,2,0,2,0,O=O,31.9898,31.9898,-1.1
4-Aminobenzoic acid,137.14,63.3,10,2,3,1,C1=CC(=CC=C1C(=O)O)N,137.048,137.048,0.8
4-Nitrophenol,139.11,66,10,1,3,0,C1=CC(=CC=C1[N+](=O)[O-])O,139.027,139.027,1.9
Palmitic Acid,256.42,37.3,18,1,2,14,CCCCCCCCCCCCCCCC(=O)O,256.24,256.24,6.4
Parathion,291.26,106,18,0,6,6,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],291.033,291.033,3.8
Pentachlorophenol,266.3,20.2,12,1,1,0,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,265.844,263.847,5.1
Phenanthrene,178.23,0,14,0,0,0,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,178.078,178.078,4.5
Phenol,94.11,20.2,7,1,1,0,C1=CC=C(C=C1)O,94.0419,94.0419,1.5
Phenylacetaldehyde,120.15,17.1,9,0,1,2,C1=CC=C(C=C1)CC=O,120.058,120.058,1.8
Phenylacetic Acid,136.15,37.3,10,1,2,2,C1=CC=C(C=C1)CC(=O)O,136.052,136.052,1.4
Phenethylamine,121.18,26,9,1,1,2,C1=CC=C(C=C1)CCN,121.089,121.089,1.4
Phthalic acid,166.13,74.6,12,2,4,2,C1=CC=C(C(=C1)C(=O)O)C(=O)O,166.027,166.027,0.7
Picolinic acid,123.11,50.2,9,1,3,1,C1=CC=NC(=C1)C(=O)O,123.032,123.032,0.8
Propylene Glycol,76.09,40.5,5,2,2,1,CC(CO)O,76.0524,76.0524,-0.9
1-Propanol,60.1,20.2,4,1,1,1,CCCO,60.0575,60.0575,0.3
Propionic Acid,74.08,37.3,5,1,2,1,CCC(=O)O,74.0368,74.0368,0.3
Purine,120.11,54.5,9,1,3,0,C1=C2C(=NC=N1)N=CN2,120.044,120.044,-0.4
"1,4-Diaminobutane",88.15,52,6,2,2,3,C(CCN)CN,88.1,88.1,-0.9
Pyrazinamide,123.11,68.9,9,1,3,1,C1=CN=C(C=N1)C(=O)N,123.043,123.043,-0.6
Pyrazole,68.08,28.7,5,1,1,0,C1=CNN=C1,68.0374,68.0374,0.3
Pyridine,79.1,12.9,6,0,1,0,C1=CC=NC=C1,79.0422,79.0422,0.7
Pyridoxal,167.16,70.4,12,2,4,2,CC1=NC=C(C(=C1O)C=O)CO,167.058,167.058,0
Pyridoxal phosphate,247.14,117,16,3,7,4,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O,247.025,247.025,-1.1
Pyridoxine,169.18,73.6,12,3,4,2,CC1=NC=C(C(=C1O)CO)CO,169.074,169.074,-0.8
Pyrogallol,126.11,60.7,9,3,3,0,C1=CC(=C(C(=C1)O)O)O,126.032,126.032,0.5
Pyruvic Acid,88.06,54.4,6,1,3,1,CC(=O)C(=O)O,88.016,88.016,-0.3
Quinolinic acid,167.12,87.5,12,2,5,2,C1=CC(=C(N=C1)C(=O)O)C(=O)O,167.022,167.022,0.2
Dimethyl sulfide,62.14,25.3,3,0,1,0,CSC,62.019,62.019,0.9
Sarcosine,89.09,49.3,6,2,3,2,CNCC(=O)O,89.0477,89.0477,-2.8
Selenic acid,144.98,74.6,5,2,4,0,O[Se](=O)(=O)O,145.912,145.912,NULL
Spermine,202.34,76.1,14,4,4,11,C(CCNCCCN)CNCCCN,202.216,202.216,-1.1
Succinic Acid,118.09,74.6,8,2,4,3,C(CC(=O)O)C(=O)O,118.027,118.027,-0.6
Sulfuric Acid,98.08,83,5,2,4,0,OS(=O)(=O)O,97.9674,97.9674,-1.4
Taurine,125.15,88.8,7,2,4,2,C(CS(=O)(=O)O)N,125.015,125.015,-4.1
Tetrahydrothiophene,88.17,25.3,5,0,1,0,C1CCSC1,88.0347,88.0347,1.4
Thioglycolic acid,92.12,38.3,5,2,3,1,C(C(=O)O)S,91.9932,91.9932,0.1
Thymine,126.11,58.2,9,2,2,0,CC1=CNC(=O)NC1=O,126.043,126.043,-0.6
4-Methyl-5-thiazoleethanol,143.21,61.4,9,1,3,2,CC1=C(SC=N1)CCO,143.04,143.04,0.8
Toluene,92.14,0,7,0,0,0,CC1=CC=CC=C1,92.0626,92.0626,2.7
Trimethylamine oxide,75.11,18.1,5,0,1,0,C[N+](C)(C)[O-],75.0684,75.0684,-0.3
Trimethylamine,59.11,3.2,4,0,1,0,CN(C)C,59.0735,59.0735,0.3
DL-Tryptophan,204.22,79.1,15,3,3,3,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,204.09,204.09,-1.1
Tryptamine,160.22,41.8,12,2,1,2,C1=CC=C2C(=C1)C(=CN2)CCN,160.1,160.1,1.6
Uracil,112.09,58.2,8,2,2,0,C1=CNC(=O)NC1=O,112.027,112.027,-1.1
Uric Acid,168.11,99.3,12,4,3,0,C12=C(NC(=O)N1)NC(=O)NC2=O,168.028,168.028,-1.9
Urea,60.056,69.1,4,2,1,0,C(=O)(N)N,60.0324,60.0324,-1.4
Vanillin,152.15,46.5,11,1,3,2,COC1=C(C=CC(=C1)C=O)O,152.047,152.047,1.2
Xanthine,152.11,86.9,11,3,3,0,C1=NC2=C(N1)C(=O)NC(=O)N2,152.033,152.033,-0.7
"Octahydro-4,8a-dimethyl-4a(2H)-naphthol",182.3,20.2,13,1,1,0,CC1CCCC2(C1(CCCC2)O)C,182.167,182.167,3.3
Normetanephrine,183.2,75.7,13,3,4,3,COC1=C(C=CC(=C1)C(CN)O)O,183.09,183.09,-0.9
Menthol,156.26,20.2,11,1,1,1,CC1CCC(C(C1)O)C(C)C,156.151,156.151,3
Perillic acid,166.22,37.3,12,1,2,2,CC(=C)C1CCC(=CC1)C(=O)O,166.099,166.099,2.7
"1,10-Phenanthroline",180.2,25.8,14,0,2,0,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,180.069,180.069,1.8
"1,2-Dimethylhydrazine",60.1,24.1,4,2,2,1,CNNC,60.0687,60.0687,-0.4
"2-(Hydroxymethyl)piperidine-3,4,5-triol",163.17,93,11,5,5,1,C1C(C(C(C(N1)CO)O)O)O,163.084,163.084,-2.3
"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine",173.25,3.2,13,0,1,1,CN1CCC(=CC1)C2=CC=CC=C2,173.12,173.12,2.7
"2,2'-Bipyridine",156.18,25.8,12,0,2,1,C1=CC=NC(=C1)C2=CC=CC=N2,156.069,156.069,1.7
"2,4,5-Trichlorophenoxyacetic acid",255.5,46.5,14,1,3,3,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,253.93,253.93,3.3
"2,4,6-Tribromophenol",330.8,20.2,10,1,1,0,C1=C(C=C(C(=C1Br)O)Br)Br,329.771,327.773,4.4
"2,4-Dichlorophenoxyacetic acid",221.03,46.5,13,1,3,3,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,219.969,219.969,2.8
"4-(2,4-Dichlorophenoxy)butanoic acid",249.09,46.5,15,1,3,5,C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)O,248.001,248.001,3.5
"2,4-Dihydroxybenzoic acid",154.12,77.8,11,3,4,1,C1=CC(=C(C=C1O)O)C(=O)O,154.027,154.027,1.6
"2,4-Dinitrophenol",184.11,112,13,1,5,0,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,184.012,184.012,1.7
"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine",224.26,56.7,17,1,3,1,CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N,224.106,224.106,2.2
2-Aminofluorene,181.23,26,14,1,1,0,C1C2=CC=CC=C2C3=C1C=C(C=C3)N,181.089,181.089,3.1
2-Hydroxytetradecanoic acid,244.37,57.5,17,2,3,12,CCCCCCCCCCCCC(C(=O)O)O,244.204,244.204,5.3
Beta-Mercaptoethanol,78.14,21.2,4,2,2,1,C(CS)O,78.0139,78.0139,-0.2
Tenamfetamine,179.22,44.5,13,1,3,2,CC(CC1=CC2=C(C=C1)OCO2)N,179.095,179.095,1.6
"3,4-Methylenedioxymethamphetamine",193.24,30.5,14,1,3,3,CC(CC1=CC2=C(C=C1)OCO2)NC,193.11,193.11,2.2
Amitrole,84.08,67.6,6,2,3,0,C1=NNC(=N1)N,84.0436,84.0436,-0.4
3-Aminobenzamide,136.15,69.1,10,2,2,1,C1=CC(=CC(=C1)N)C(=O)N,136.064,136.064,-0.5
4-(2-Aminoethyl)-2-methoxyphenol,167.2,55.5,12,2,3,3,COC1=C(C=CC(=C1)CCN)O,167.095,167.095,0.2
3-Methylcholanthrene,268.4,0,21,0,0,0,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,268.125,268.125,6.4
Enprofylline,194.19,78.1,14,2,3,2,CCCN1C2=C(C(=O)NC1=O)NC=N2,194.08,194.08,0.3
Triferric doxorubicin,543.5,206,39,6,12,5,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,543.174,543.174,1.3
4-Aminopyridine,94.11,38.9,7,1,2,0,C1=CN=CC=C1N,94.0531,94.0531,0.3
4-Chloro-3-methylphenol,142.58,20.2,9,1,1,0,CC1=C(C=CC(=C1)O)Cl,142.019,142.019,3.1
Homovanillic acid,182.17,66.8,13,2,4,3,COC1=C(C=CC(=C1)CC(=O)O)O,182.058,182.058,0.4
4-Nonylphenol,220.35,20.2,16,1,1,8,CCCCCCCCCC1=CC=C(C=C1)O,220.183,220.183,5.9
Phenytoin,252.27,58.2,19,2,2,2,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,252.09,252.09,2.5
8-Hydroxyquinoline,145.16,33.1,11,1,2,0,C1=CC2=C(C(=C1)O)N=CC=C2,145.053,145.053,2
Tacrine,198.26,38.9,15,1,2,0,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,198.116,198.116,2.7
"33-(4-Amino-3,5-dihydroxy-6-methyloxan-2-yl)oxy-1,3,5,6,9,11,17,37-octahydroxy-15,16,18-trimethyl-13-oxo-14,39-dioxabicyclo[33.3.1]nonatriaconta-19,21,23,25,27,29,31-heptaene-36-carboxylic acid",924.1,320,65,12,18,3,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,923.488,923.488,0
Acebutolol,336.4,87.7,24,3,5,10,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,336.205,336.205,1.7
Acemetacin,415.8,94.8,29,1,6,7,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,415.082,415.082,4.2
